Time	Voltage
0.000125	0.023270008392462
0.00025	0.024979018844892
0.000375	-0.00865186541542687
0.0005	-0.00343327992675669
0.000625	-0.00663767452506294
0.00075	-0.00404364080262455
0.000875	-0.00569161516746777
0.001	-0.00566109712367437
0.001125	-0.00566109712367437
0.00125	-0.00480659189745937
0.001375	-0.00587472343022812
0.0015	-0.0055390249485008
0.001625	-0.00563057907988098
0.00175	-0.00492866407263294
0.001875	-0.00520332646677348
0.002	-0.00495918211642634
0.002125	-0.00483710994125277
0.00225	-0.00486762798504616
0.002375	-0.0046845197222858
0.0025	-0.00416571297779812
0.002625	-0.00398260471503777
0.00275	-0.00419623102159152
0.002875	-0.00410467689021134
0.003	-0.00477607385366598
0.003125	-0.00532539864194705
0.00325	-0.0051117723353933
0.003375	-0.00489814602883955
0.0035	-0.00419623102159152
0.003625	-0.00440985732814527
0.00375	-0.00447089341573205
0.003875	-0.00520332646677348
0.004	-0.00401312275883116
0.004125	-0.00428778515297169
0.00425	-0.00492866407263294
0.004375	-0.00459296559090562
0.0045	-0.00563057907988098
0.004625	-0.00453192950331884
0.00475	-0.00544747081712062
0.004875	-0.00437933928435187
0.005	-0.0042572671091783
0.005125	-0.00578316929884794
0.00525	-0.00440985732814527
0.005375	-0.00495918211642634
0.0055	-0.00547798886091402
0.005625	-0.00523384451056687
0.00575	-0.00547798886091402
0.005875	-0.00526436255436027
0.006	-0.00465400167849241
0.006125	-0.00505073624780652
0.00625	-0.00471503776607919
0.006375	-0.00520332646677348
0.0065	-0.00584420538643473
0.006625	-0.00447089341573205
0.00675	-0.00450141145952544
0.006875	-0.00526436255436027
0.007	-0.00483710994125277
0.007125	-0.00419623102159152
0.00725	-0.0055390249485008
0.007375	-0.00428778515297169
0.0075	-0.00373846036469062
0.007625	-0.0046845197222858
0.00775	-0.00389105058365759
0.007875	-0.00517280842298009
0.008	-0.0046845197222858
0.008125	-0.00395208667124437
0.00825	-0.00413519493400473
0.008375	-0.00373846036469062
0.0085	-0.00422674906538491
0.008625	-0.00453192950331884
0.00875	-0.00401312275883116
0.008875	-0.00434882124055848
0.009	-0.00447089341573205
0.009125	-0.00379949645227741
0.00925	-0.0046845197222858
0.009375	-0.00447089341573205
0.0095	-0.00471503776607919
0.009625	-0.00352483405813687
0.00975	-0.00447089341573205
0.009875	-0.00392156862745098
0.01	-0.00419623102159152
0.010125	-0.00352483405813687
0.01025	-0.00410467689021134
0.010375	-0.00480659189745937
0.0105	-0.00413519493400473
0.010625	-0.00312809948882277
0.01075	-0.00407415884641794
0.010875	-0.0042572671091783
0.011	-0.00251773861295491
0.011125	-0.00358587014572366
0.01125	-0.00361638818951705
0.011375	-0.00352483405813687
0.0115	-0.00389105058365759
0.011625	-0.00367742427710384
0.01175	-0.0038300144960708
0.011875	-0.00465400167849241
0.012	-0.00401312275883116
0.012125	-0.00358587014572366
0.01225	-0.00355535210193027
0.012375	-0.00337224383916991
0.0125	-0.00312809948882277
0.012625	-0.00379949645227741
0.01275	-0.00453192950331884
0.012875	-0.0042572671091783
0.013	-0.00447089341573205
0.013125	-0.0034027618829633
0.01325	-0.0029755092698558
0.013375	-0.00346379797055009
0.0135	-0.00459296559090562
0.013625	-0.00444037537193866
0.01375	-0.00453192950331884
0.013875	-0.00520332646677348
0.014	-0.00416571297779812
0.014125	-0.00379949645227741
0.01425	-0.00389105058365759
0.014375	-0.00376897840848402
0.0145	-0.00334172579537652
0.014625	-0.00318913557640955
0.01475	-0.00321965362020294
0.014875	-0.00395208667124437
0.015	-0.00349431601434348
0.015125	-0.00431830319676509
0.01525	-0.00440985732814527
0.015375	-0.00428778515297169
0.0155	-0.00505073624780652
0.015625	-0.00462348363469902
0.01575	-0.00505073624780652
0.015875	-0.00355535210193027
0.016	-0.00486762798504616
0.016125	-0.00492866407263294
0.01625	-0.0046845197222858
0.016375	-0.00520332646677348
0.0165	-0.00328068970778973
0.016625	-0.00398260471503777
0.01675	-0.00413519493400473
0.016875	-0.00352483405813687
0.017	-0.0034027618829633
0.017125	-0.00407415884641794
0.01725	-0.00392156862745098
0.017375	-0.0038300144960708
0.0175	-0.00358587014572366
0.017625	-0.00355535210193027
0.01775	-0.0034027618829633
0.017875	-0.00407415884641794
0.018	-0.00471503776607919
0.018125	-0.00294499122606241
0.01825	-0.00349431601434348
0.018375	-0.00376897840848402
0.0185	-0.00343327992675669
0.018625	-0.00398260471503777
0.01875	-0.00404364080262455
0.018875	-0.00401312275883116
0.019	-0.00489814602883955
0.019125	-0.00404364080262455
0.01925	-0.00422674906538491
0.019375	-0.00398260471503777
0.0195	-0.00367742427710384
0.019625	-0.00434882124055848
0.01975	-0.00370794232089723
0.019875	-0.00462348363469902
0.02	-0.00502021820401312
0.020125	-0.00459296559090562
0.02025	-0.00373846036469062
0.020375	-0.00444037537193866
0.0205	-0.00392156862745098
0.020625	-0.00514229037918669
0.02075	-0.00471503776607919
0.020875	-0.00349431601434348
0.021	-0.00532539864194705
0.021125	-0.00422674906538491
0.02125	-0.00495918211642634
0.021375	-0.00483710994125277
0.0215	-0.00367742427710384
0.021625	-0.00392156862745098
0.02175	-0.00395208667124437
0.021875	-0.00404364080262455
0.022	-0.00398260471503777
0.022125	-0.00428778515297169
0.02225	-0.00367742427710384
0.022375	-0.00453192950331884
0.0225	-0.00498970016021973
0.022625	-0.00456244754711223
0.02275	-0.00434882124055848
0.022875	-0.0038300144960708
0.023	-0.00413519493400473
0.023125	-0.00401312275883116
0.02325	-0.00349431601434348
0.023375	-0.00450141145952544
